X,Y,latitude,longitude,dataset
4415490.0,5675848.4,51.21131312719488,10.789091486257721,All Points
4407839.3,5679498.9,51.242933739851516,10.678695491316025,All Points
4411971.7,5676242.2,51.21432053711099,10.738658143202368,All Points
4410119.8,5677194.8,51.22259239315652,10.711922644183717,All Points
4410449.1,5677385.9,51.22436141351333,10.716587331403922,All Points
4410942.4,5677743.0,51.227647581216075,10.723558229321837,All Points
4410185.4,5677862.9,51.22860642736688,10.712694008960622,All Points
4411316.2,5680498.3,51.252465671185085,10.728225833514545,All Points
4414062.1,5674935.2,51.20289361959215,10.768880885298664,All Points
4412526.7,5677148.5,51.22255016599519,10.746378020508612,All Points
4410370.9,5678783.6,51.236909219057445,10.715118630216832,All Points
4399687.12,5673102.73,51.18408461016868,10.563777638157886,All Points
4399547.42,5671479.76,51.16947646719559,10.562233772670034,All Points
4393738.44,5670811.33,51.16242082356683,10.47940554001542,All Points
4399370.1,5671898.8,51.173210694287164,10.559582065437358,All Points
4466436.2,5655896.1,51.03724299448467,11.51998090411713,All Points
4494787.8,5618778.5,50.70454940633122,11.92471839861367,All Points
4414720.8,5571710.1,50.27528127594411,10.802192845347053,All Points
4446653.0,5658621.0,51.0602375694551,11.237554481983828,All Points
4400240.6,5652723.6,51.0010558690689,10.577319220646846,All Points
4397909.3,5653419.5,51.00690034961996,10.543923065017186,All Points
4399141.2,5654773.4,51.01928376943379,10.561092732179109,All Points
4402205.8,5652925.7,51.003209293522694,10.605252162852052,All Points
4397513.3,5654774.6,51.019006764295035,10.537900161592235,All Points
4396802.5,5653897.8,51.01100084973586,10.528023087475805,All Points
4400040.3,5653971.1,51.01223123332057,10.574123161219276,All Points
4396273.6,5655048.5,51.0212457369844,10.520160436353605,All Points
4398273.4,5655676.9,51.0272497267955,10.548475955218764,All Points
4401188.2,5653492.0,51.008124302078656,10.590605249018735,All Points
4397216.5,5656020.8,51.0301520016205,10.533318565398977,All Points
4425540.0,5691350.0,51.35202263429819,10.92965501285224,All Points
4423576.3,5688775.8,51.328628399439246,10.90202508487563,All Points
4452510.0,5612901.1,50.649800550208134,11.327025687834961,All Points
4362011.3,5691689.39,51.343201090640726,10.0180518039953,All Points
4479579.4,5588753.4,50.43430503238333,11.71108546662955,All Points
4458782.5,5660101.7,51.074545824332255,11.41038943421083,All Points
4453936.2,5659434.6,51.06818109354326,11.34133038127529,All Points
4456224.0,5662381.6,51.09484844295994,11.373609758747902,All Points
4458982.2,5664557.3,51.11460816490556,11.412732265077933,All Points
4459104.5,5666396.1,51.13114441940989,11.414269992045016,All Points
4455920.2,5666309.1,51.1301260949311,11.36879326466229,All Points
4461195.2,5666374.6,51.13109673625472,11.444138052920447,All Points
4457356.2,5667469.7,51.14066650939279,11.389168492804949,All Points
4455375.6,5668458.9,51.1494064920357,11.36074742884541,All Points
4379809.96,5657988.62,51.04445727674119,10.284646292110253,All Points
4382608.59,5657654.69,51.042035452587264,10.324643081462849,All Points
4360277.06,5627655.67,50.76754159297606,10.017889337556923,All Points
4432660.2,5581707.1,50.36746016642391,11.052024903400167,All Points
4433034.4,5582727.4,50.37667396202586,11.057102029383772,All Points
4404875.1,5606580.4,50.587166361320705,10.655269350000244,All Points
4407533.8,5701710.0,51.442471420843034,10.668553750796969,All Points
4432701.0,5654500.0,51.02173387042493,11.039335899788822,All Points
4448150.3,5654874.5,51.02670107173805,11.259446552279176,All Points
4447764.8,5653848.1,51.01744080838894,11.254100154410317,All Points
4447272.2,5652635.4,51.006496005963406,11.247257123455354,All Points
4455209.6,5653473.4,51.014701237936684,11.36023350113995,All Points
4415997.7,5656150.7,51.03437076684769,10.800944505964603,All Points
4478795.0,5646270.8,50.951313316790895,11.696738291725556,All Points
4408179.3,5642181.9,50.90764342862149,10.6930401491082,All Points
4409458.0,5642593.4,50.911543411575686,10.711112997670803,All Points
4440032.9,5677432.2,51.22865229427683,11.140002834090595,All Points
4451821.8,5664811.0,51.11633090371779,11.31045028484106,All Points
4455446.6,5664238.1,51.11147503632264,11.362284133669705,All Points
4463771.7,5630407.0,50.8079693065153,11.48452915897428,All Points
4412860.3,5643371.3,50.91905792611628,10.759290969249285,All Points
4428869.12,5690723.56,51.346819380967666,10.977559717575133,All Points
4428186.1,5689643.8,51.33702981438104,10.967975934544343,All Points
4382091.27,5676845.77,51.21435704196429,10.310993831826757,All Points
4380897.62,5678133.15,51.225675914939714,10.293490966458362,All Points
4380601.17,5676065.27,51.2070350860976,10.289937475429301,All Points
